BehaviorSpace results (NetLogo 3D 5.0.4),,,,,,,,,,,,,
/home/ouit-modelling4all/kkahn/models/Kepler-36-experiment.nlogo3d,,,,,,,,,,,,,
BIG,,,,,,,,,,,,,
09/03/2013 11:26:05:497 +0100,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,
-50,50,-50,50,,,,,,,,,,
[run number],the-kepler-36-c-mean-anomaly,the-kepler-36-b-mass,the-kepler-36-c-semi-major-axis,the-kepler-36-b-semi-major-axis,the-kepler-36-b-mean-anomaly,the-kepler-36-c-logitude,the-kepler-36-b-logitude,the-kepler-36-c-mass,[step],[my-orbits-length] of the-kepler-36-c,[my-orbits-length] of the-kepler-36-b,orbits-ok,years-ok
53,300,2.49E+25,18890000,17560000,150,145,150,4.84E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169520 1164840 1165140 1165320 1165260 993840],"""orbits-ok""","""years-ok"""
52,300,2.49E+25,18890000,17560000,150,145,150,4.52E+25,127267,[1378920 1381020 1381800 1381560 1381680 731040],[1169280 1164840 1165140 1165320 1165200 993840],"""orbits-ok""","""years-ok"""
55,300,2.49E+25,18890000,17560000,145,5,240,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
54,300,2.49E+25,18890000,17560000,150,145,150,5.16E+25,127268,[1378980 1381020 1381800 1381560 1381680 731040],[1169820 1164840 1165140 1165380 1165260 993840],"""orbits-ok""","""years-ok"""
57,300,2.49E+25,18890000,17560000,145,5,240,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
56,300,2.49E+25,18890000,17560000,145,5,240,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
58,300,2.49E+25,18890000,17560000,145,5,244,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
59,300,2.49E+25,18890000,17560000,145,5,244,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
60,300,2.49E+25,18890000,17560000,145,5,244,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
61,300,2.49E+25,18890000,17560000,145,5,150,4.52E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
66,300,2.49E+25,18890000,17560000,145,8,240,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
62,300,2.49E+25,18890000,17560000,145,5,150,4.84E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167840 1167720 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
64,300,2.49E+25,18890000,17560000,145,8,240,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
63,300,2.49E+25,18890000,17560000,145,5,150,5.16E+25,120912,[1411920 1412100 1412100 1411860 1412160 194580],[1167900 1167660 1167480 1168020 1167360 1001580],"""orbits-ok""","""years-ok"""
65,300,2.49E+25,18890000,17560000,145,8,240,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
67,300,2.49E+25,18890000,17560000,145,8,244,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
68,300,2.49E+25,18890000,17560000,145,8,244,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
69,300,2.49E+25,18890000,17560000,145,8,244,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
70,300,2.49E+25,18890000,17560000,145,8,150,4.52E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167600 1167360 1167840 1167420 1001580],"""orbits-ok""","""years-ok"""
72,300,2.49E+25,18890000,17560000,145,8,150,5.16E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167780 1167540 1167300 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
71,300,2.49E+25,18890000,17560000,145,8,150,4.84E+25,121367,[1415760 1415880 1415880 1415520 1415880 203100],[1167720 1167540 1167360 1167900 1167360 1001580],"""orbits-ok""","""years-ok"""
73,300,2.49E+25,18890000,17560000,145,145,240,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
74,300,2.49E+25,18890000,17560000,145,145,240,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
75,300,2.49E+25,18890000,17560000,145,145,240,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
76,300,2.49E+25,18890000,17560000,145,145,244,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
77,300,2.49E+25,18890000,17560000,145,145,244,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
78,300,2.49E+25,18890000,17560000,145,145,244,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
79,300,2.49E+25,18890000,17560000,145,145,150,4.52E+25,127305,[1380660 1381620 1381740 1381560 1381680 731040],[1169700 1167660 1167840 1168080 1167900 1001640],"""orbits-ok""","""years-ok"""
80,300,2.49E+25,18890000,17560000,145,145,150,4.84E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1169820 1167660 1167840 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
81,300,2.49E+25,18890000,17560000,145,145,150,5.16E+25,127305,[1380720 1381560 1381740 1381560 1381680 731040],[1170000 1167600 1167900 1168080 1167960 1001640],"""orbits-ok""","""years-ok"""
82,300,2.49E+25,18890000,17270000,300,5,240,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
83,300,2.49E+25,18890000,17270000,300,5,240,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
84,300,2.49E+25,18890000,17270000,300,5,240,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
85,300,2.49E+25,18890000,17270000,300,5,244,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
86,300,2.49E+25,18890000,17270000,300,5,244,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
87,300,2.49E+25,18890000,17270000,300,5,244,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
91,300,2.49E+25,18890000,17270000,300,8,240,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
88,300,2.49E+25,18890000,17270000,300,5,150,4.52E+25,121085,[1414140 1413900 1414020 1414200 1414080 194760],[1227780 1227840 1227540 1227360 1228200 95700],"""orbits-ok""","""years-ok"""
90,300,2.49E+25,18890000,17270000,300,5,150,5.16E+25,121086,[1414140 1413900 1414020 1414260 1414080 194760],[1227240 1227300 1227060 1226760 1227780 95700],"""orbits-ok""","""years-ok"""
89,300,2.49E+25,18890000,17270000,300,5,150,4.84E+25,121085,[1414080 1413960 1414020 1414200 1414080 194760],[1227540 1227540 1227360 1227060 1227960 95700],"""orbits-ok""","""years-ok"""
95,300,2.49E+25,18890000,17270000,300,8,244,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
92,300,2.49E+25,18890000,17270000,300,8,240,4.84E+25,121507,[1417500 1417260 1417380 1417560 1417560 203160],[1228200 1228200 1228020 1227720 1228980 95700],"""orbits-ok""","""years-ok"""
94,300,2.49E+25,18890000,17270000,300,8,244,4.52E+25,121506,[1417440 1417320 1417320 1417560 1417560 203160],[1228440 1228440 1228200 1228020 1229100 95700],"""orbits-ok""","""years-ok"""
93,300,2.49E+25,18890000,17270000,300,8,240,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
96,300,2.49E+25,18890000,17270000,300,8,244,5.16E+25,121508,[1417500 1417260 1417380 1417620 1417560 203160],[1227960 1228020 1227780 1227480 1228800 95700],"""orbits-ok""","""years-ok"""
